question_id,question
0,"Every person in the world undergoes a goodness test . It's designed to give a score from 1 to 200 , where 1 is pure evil , and 200 is an angel in human body . Then the world is divided into 200 zones , where people can live among their own kind."
1,"Space mining is on the rise . The Space tanker Exxon Valdez 2.0 crash and spill its cargo . Write a news story covering the event."
2,"You have just been sworn in as President , and are being told the truth about alien life ... but it 's incredibly far from what anyone had ever imagined."
3,"In a post apocalyptic world , a group of humans follow the wise words of The Mighty Magic Eight Ball."
4,"You 're moments late to literally everything . You watch busses pull away as you run behind them , girls get asked out as you walk up to them , and you have never caught a green light . One day though , you arrive on time."
5,"You come home from work and find a stranger in your home . After a brief panic , you come to find that said stranger is your beloved pet turned human."
6,"Guy Fieri is stranded in our world from an alternate dimension . His only hope is to roam the country looking for the way back to Flavor Town."
7,"In 2006 NASA quietly removed 'to understand and protect our home planet' from its mission statement . A scientist at NASA is about to find the terrible truth why."
8,"Tell the origin story of the most awesome or most interesting character you can imagine."
9,"Write a story about a doctor living in a world in which the technology exists to physically connect to another person and feel their pain."
10,"The monster under your bed , the monster in the closet , the monster tapping on your window , the monster hiding in the basement , and the monster living in the attic all try to compete with each other to give you the biggest scare . It 's become less scary and more annoying."
11,"Every aspiring superhero must become a sidekick for a few years before being granted full time hero status . You are the strongest superhero in your age group , but believe you have been assigned to the weakest hero . You learn a lot more than you originally thought you would."
12,"You 're part way through a course when you realise that it 's for aspiring supervillains."
13,"Magic is discovered and it 's channeled with music . Modern nations dissolve and new countries rise in their place divided by the preferred music."
14,"A post apocalyptic society finds an ancient device that gives them instructions on what to do next . This device... is the Bop It."
15,"Stuck on a small island surrounded by eerie mist , you quickly discover the only thing that is keeping you safe is the bright revolving lights coming from the lighthouse."
16,"You and your cohorts have pulled off your heist as planned . Later , in your hideout , you see TV reports that the payload you hijacked is highly radioactive."
17,"Describe a household object in a way that keeps the reader puzzled until you reveal what it is . The second time they read it , everything should fall into place."
18,"You slowly start to realize that you have a roommate."
19,"While putting your favorite condiment on a sandwich , you accidentally draw a symbol that summons demons."
20,"Describe some mundane activity as if you 're a character in a noir story."
21,"In a world where machines have long made manual labor obsolete , a few still practice the ancient skills . Now , the Blue Collar Games are the biggest sporting event in the world."
22,"Teleportation is finally invented . Your friend is one of the first people to use it . After coming out on the other side , the more time you spend with him , the more you realize that this is not your friend."
23,"A butterfly flapping its wings in China causes a storm in America . What motivations would a butterfly have for doing this?"
24,"You are driving down the road when you see a Woman in White hitchhiking . And even though you know she is a ghost , you pick her up anyway ..."
25,"The Chicken is getting old and has retired from its job crossing the road , leaving the position open . You are an animal of your choice applying for the position."
26,"You 're a scientist working for the government . You encounter a secret spaceship that the government hid away . You 're informed that no one knows how to take it apart or even open it. You touch the door of the spaceship , and suddenly it opens."
27,"In a world of TechnoMagic , you are a Hacker."
28,"Humans shoot billions of mushroom spores into deep space . Some land on a habitable planet and sentient beings eventually evolve . What do they contemplate about their existence?"
29,"You are a cat and your home is being burglarized . Do everything you must to foil their plans and alert your owner."
30,"A blizzard strikes during a massive comic book convention , completely isolating the building and the attendees , most of whom are in costume . Then there is a murder . And as you made the mistake of dressing up as Sherlock Holmes , everyone expects you to solve it."
31,"Your shadow has turned against you."
32,"You wake up as the family cat . Everyone still treats you like a human even though you meow and are now a cat."
33,"Two cyberhobos travel back in time to steal our time 's garbage , now a precious resource in the bright , eco-friendly , Utopian future."
34,"Whenever a felony is committed , a clone of the perpetrator is created using DNA left at the crime scene . The original goes to jail , while the clone takes his/her place in society."
35,"A peaceful alien race is besieged by another race in the same galaxy . As their last planets fall and their home-world comes under threat they do the unthinkable . They ask for aid from the only known creatures more brutal than their foes in exchange for FTL technology . Humans accept the deal."
36,"Yesterday , the world heard an announcement that a massive asteroid would hit the earth today . Only it did n't , and now everyone is feeling super awkward."
37,"Tell the story of an imaginary number trying to find it 's place on a number line."
38,"Write a conceptuary . An obituary , except written at the time of conception , not death."
39,"Make me terrified of an inanimate object."
40,"You 're sitting in your house at night watching tv , all of a sudden the lights go out and the tv turns off . What 's happening?"
41,"A guardian angel who thinks laughter is the best medicine."
42,"You get a deep cut for the first time in your life , instead of bone or muscle , you see wires."
43,"A genie will grant any wish , but the grantee must fulfill a request for the genie before their wish is granted."
44,"A man with above average intelligence wishes for the world to be smarter . He is delighted to find that his wish has come true, until he realizes that he is now the least intelligent man in the world."
45,"All math has stopped working."
46,"Personal Teleportation technology has been perfected . Now almost everyone owns a safe, pocketable device that can transport them anywhere on the surface of the Earth nearly instantaneously . Describe life in this world and the impact the devices have had on it."
47,"There is a reason the wildlife in Australia is so dangerous, and it's not what you'd expect."
48,"After a bizarrely grueling interview process , you 've finally been hired at the local shop ... on your first day you find out the real reason for the screening."
49,"The hero was killed , the princess was sacrificed , and the evil king rules the land. For the average citizen, though, things have taken a turn for the better."

